1981	36
1982	200
1983	546
1984	1200
1985	1200
1986	2200
1987	1850
1988	2861
1989	4266
1990	4300
1991	3950
1992	6174
1993	9373
1994	10143
1995	10327
1996	11328
1997	11725
1998	11691
1999	10189
2000	10537
2001	11666
2002	10122
2003	10355
2004	9168
2005	13988
2006	15329
2007	14177
2008	13031
2009	9762
2010	11271
2011	8688
2012	7571
2013	6983
2014	4778
2015	2067
2016	1586
2017	793

